CODE,NOM,POP
284,La Tour,1268
285,Usinens,389
286,Vacheresse,812
287,Vailly,890
274,Val-de-Fier,653
288,Valleiry,3939
289,Vallières,1629
290,Vallorcine,418
291,Vanzy,327
292,Vaulx,915
293,Veigy-Foncenex,3526
294,Verchaix,691
295,La Vernaz,305
296,Vers,782
297,Versonnex,601
298,Vétraz-Monthoux,8087
299,Veyrier-du-Lac,2452
301,Villard,773
302,Les Villards-sur-Thônes,1030
303,Villaz,3293
304,Ville-en-Sallaz,845
305,Ville-la-Grand,8526
306,Villy-le-Bouveret,614
307,Villy-le-Pelloux,923
308,Vinzier,746
309,Viry,4350
311,Viuz-en-Sallaz,4118
310,Viuz-la-Chiésaz,1350
312,Vougy,1530
313,Vovray-en-Bornes,412
314,Vulbens,1358
315,Yvoire,929
